,Answer,Confidence,Class,1,2,sum_prediction
0,2,0.6,1,0.35,0.65,1.0
1,2,0.8,1,0.2,0.8,1.0
2,2,0.8,1,0.25,0.75,1.0
3,2,0.8,1,0.25,0.75,1.0
4,2,0.6,1,0.25,0.75,1.0
5,2,0.6,1,0.24,0.76,1.0
6,2,0.8,1,0.21,0.79,1.0
7,1,0.4,0,0.25,0.75,1.0
8,2,0.8,1,0.15,0.85,1.0
9,2,0.6,1,0.35,0.65,1.0
10,2,1.0,1,0.05,0.95,1.0
11,1,0.4,0,0.55,0.45,1.0
12,2,0.6,1,0.4,0.6,1.0
13,2,0.8,1,0.35,0.65,1.0
14,2,0.6,1,0.85,0.15,1.0
15,2,1.0,1,0.2,0.8,1.0
16,2,0.8,1,0.3,0.7,1.0
17,2,1.0,1,0.15,0.85,1.0
18,2,0.6,1,0.6,0.4,1.0
19,2,0.8,1,0.2,0.8,1.0
20,2,0.6,1,0.5,0.5,1.0
21,2,0.2,1,0.5,0.5,1.0
22,2,0.8,1,0.1,0.9,1.0
23,2,1.0,1,0.1,0.9,1.0
24,2,0.8,1,0.2,0.8,1.0
25,2,0.8,1,0.2,0.8,1.0
26,2,1.0,1,0.3,0.7,1.0
27,2,0.8,1,0.2,0.8,1.0
28,2,0.8,1,0.1,0.9,1.0
29,2,0.8,1,0.2,0.8,1.0
30,2,0.6,1,0.35,0.65,1.0
31,2,0.6,1,0.35,0.65,1.0
32,2,0.6,1,0.44,0.56,1.0
33,2,0.6,1,0.35,0.65,1.0
34,2,0.6,1,0.33,0.67,1.0
35,2,0.8,1,0.3,0.7,1.0
36,2,0.8,1,0.3,0.7,1.0
37,2,0.2,1,0.5,0.5,1.0
38,2,0.8,1,0.25,0.75,1.0
39,2,0.6,1,0.4,0.6,1.0
40,1,0.4,0,0.5,0.5,1.0
41,2,0.6,1,0.35,0.65,1.0
42,2,0.8,1,0.1,0.9,1.0
43,2,0.8,1,0.2,0.8,1.0
44,2,1.0,1,0.1,0.9,1.0
45,2,0.6,1,0.38,0.62,1.0
46,2,1.0,1,0.1,0.9,1.0
47,2,1.0,1,0.1,0.9,1.0
48,2,0.8,1,0.3,0.7,1.0
49,2,0.8,1,0.25,0.75,1.0
50,2,0.6,1,0.4,0.6,1.0
51,2,0.8,1,0.2,0.8,1.0
52,2,0.8,1,0.25,0.75,1.0
53,2,0.6,1,0.2,0.8,1.0
54,2,1.0,1,0.3,0.7,1.0
55,2,0.8,1,0.2,0.8,1.0
56,2,1.0,1,0.02,0.98,1.0
57,2,0.8,1,0.2,0.8,1.0
58,2,0.8,1,0.3,0.7,1.0
59,2,0.8,1,0.25,0.75,1.0
60,2,0.8,1,0.2,0.8,1.0
