,Answer,Confidence,Class,1,2,sum_prediction
0,2,0.4,1,0.45,0.55,1.0
1,1,0.6,0,0.5,0.5,1.0
2,2,0.6,1,0.35,0.65,1.0
3,2,0.4,1,0.6,0.4,1.0
4,2,0.4,1,0.5,0.5,1.0
5,2,0.4,1,0.41,0.59,1.0
6,2,0.6,1,0.32,0.68,1.0
7,1,0.8,0,0.75,0.25,1.0
8,2,0.4,1,0.52,0.48,1.0
9,2,0.4,1,0.5,0.5,1.0
10,2,0.6,1,0.4,0.6,1.0
11,1,0.8,0,0.4,0.6,1.0
12,2,0.6,1,0.61,0.39,1.0
13,1,0.6,0,0.55,0.45,1.0
14,2,0.4,1,0.78,0.22,1.0
15,2,0.4,1,0.35,0.65,1.0
16,2,0.4,1,0.5,0.5,1.0
17,2,0.4,1,0.5,0.5,1.0
18,2,0.4,1,0.81,0.19,1.0
19,2,0.4,1,0.3,0.7,1.0
20,2,0.2,1,0.9,0.1,1.0
21,1,0.2,0,0.5,0.5,1.0
22,2,0.6,1,0.2,0.8,1.0
23,2,0.4,1,0.5,0.5,1.0
24,2,0.6,1,0.2,0.8,1.0
25,1,0.6,0,0.6,0.4,1.0
26,2,0.6,1,0.4,0.6,1.0
27,2,0.2,1,0.45,0.55,1.0
28,1,0.8,0,0.75,0.25,1.0
29,2,0.8,1,0.3,0.7,1.0
30,2,0.6,1,0.3,0.7,1.0
31,2,0.6,1,0.3,0.7,1.0
32,2,0.2,1,0.46,0.54,1.0
33,1,0.6,0,0.65,0.35,1.0
34,2,0.4,1,0.35,0.65,1.0
35,2,0.8,1,0.25,0.75,1.0
36,2,0.8,1,0.25,0.75,1.0
37,1,0.2,0,0.5,0.5,1.0
38,1,0.4,0,0.4,0.6,1.0
39,2,0.8,1,0.3,0.7,1.0
40,2,0.8,1,0.32,0.68,1.0
41,2,0.6,1,0.3,0.7,1.0
42,1,0.4,0,0.5,0.5,1.0
43,1,0.6,0,0.5,0.5,1.0
44,2,0.8,1,0.25,0.75,1.0
45,1,0.2,0,0.5,0.5,1.0
46,2,0.8,1,0.4,0.6,1.0
47,2,1.0,1,0.1,0.9,1.0
48,2,0.6,1,0.3,0.7,1.0
49,2,0.6,1,0.65,0.35,1.0
50,1,0.4,0,0.45,0.55,1.0
51,2,0.6,1,0.4,0.6,1.0
52,2,0.8,1,0.5,0.5,1.0
53,2,0.4,1,0.4,0.6,1.0
54,2,0.8,1,0.13,0.87,1.0
55,2,0.8,1,0.5,0.5,1.0
56,2,0.8,1,0.05,0.95,1.0
57,1,0.6,0,0.6,0.4,1.0
58,2,0.8,1,0.3,0.7,1.0
59,2,0.6,1,0.4,0.6,1.0
60,2,0.4,1,0.45,0.55,1.0
