Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
3,W4_13,1,6,0.68,0.32,Solver,N/A
26,W4_13,1,4,0.5,0.5,Solver,N/A
39,W4_13,2,4,0.88,0.12,Non-Solver,N/A
50,W4_13,1,6,0.55,0.45,Solver,N/A
58,W4_13,1,6,0.65,0.35,Solver,N/A
61,W4_13,1,8,0.7,0.3,Solver,N/A
66,W4_13,1,6,0.5,0.5,Solver,N/A
69,W4_13,1,6,0.5,0.5,Solver,N/A
77,W4_13,1,10,0.7,0.3,Solver,N/A
79,W4_13,1,6,0.53,0.47,Solver,N/A
82,W4_13,1,4,0.4,0.6,Solver,N/A
90,W4_13,1,6,0.7,0.3,Solver,N/A
108,W4_13,1,8,0.65,0.35,Solver,N/A
112,W4_13,1,6,0.6,0.4,Solver,N/A
115,W4_13,1,8,0.9,0.1,Solver,N/A
117,W4_13,1,8,0.7,0.3,Solver,N/A
118,W4_13,1,6,0.55,0.45,Solver,N/A
121,W4_13,1,6,0.55,0.45,Solver,N/A
