,Answer,Confidence,Class,1,2,sum_prediction
0,1,0.6,1,0.6,0.4,1.0
1,1,0.6,1,0.6,0.4,1.0
2,1,0.6,1,0.6,0.4,1.0
3,2,0.8,0,0.6,0.4,1.0
4,2,0.6,0,0.35,0.65,1.0
5,2,0.4,0,0.55,0.45,1.0
6,1,0.2,1,0.55,0.45,1.0
7,2,0.6,0,0.5,0.5,1.0
8,2,0.4,0,0.5,0.5,1.0
9,1,0.8,1,0.85,0.15,1.0
10,2,0.4,0,0.75,0.25,1.0
11,1,0.6,1,0.65,0.35,1.0
12,1,0.8,1,0.8,0.2,1.0
13,2,0.6,0,0.5,0.5,1.0
14,2,0.8,0,0.35,0.65,1.0
15,1,0.8,1,0.6,0.4,1.0
16,2,0.4,0,0.75,0.25,1.0
17,2,0.6,0,0.4,0.6,1.0
18,2,0.4,0,0.6,0.4,1.0
19,1,0.8,1,0.67,0.33,1.0
20,2,0.8,0,0.35,0.65,1.0
21,1,0.4,1,0.55,0.45,1.0
22,1,0.8,1,0.8,0.2,1.0
23,2,1.0,0,0.6,0.4,1.0
24,1,0.4,1,0.5,0.5,1.0
25,2,0.4,0,0.9,0.1,1.0
26,1,0.4,1,0.7,0.3,1.0
