Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
3,W4_3,1,8,0.8,0.2,Solver,N/A
26,W4_3,1,8,0.7,0.3,Solver,N/A
39,W4_3,1,6,0.58,0.42,Solver,N/A
50,W4_3,1,8,0.6,0.4,Solver,N/A
58,W4_3,1,8,0.7,0.3,Solver,N/A
61,W4_3,1,6,0.7,0.3,Solver,N/A
66,W4_3,1,10,1.0,0.0,Solver,N/A
69,W4_3,2,4,0.6,0.4,Non-Solver,N/A
77,W4_3,1,10,0.8,0.2,Solver,N/A
79,W4_3,1,6,0.53,0.47,Solver,N/A
82,W4_3,1,8,0.85,0.15,Solver,N/A
90,W4_3,2,4,0.45,0.55,Non-Solver,N/A
108,W4_3,1,8,0.7,0.3,Solver,N/A
112,W4_3,1,6,0.65,0.35,Solver,N/A
115,W4_3,1,10,0.95,0.05,Solver,N/A
117,W4_3,2,4,0.8,0.2,Non-Solver,N/A
118,W4_3,1,8,0.7,0.3,Solver,N/A
121,W4_3,1,8,0.65,0.35,Solver,N/A
