Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
3,W4_6,1,8,0.85,0.15,Solver,N/A
26,W4_6,1,10,0.85,0.15,Solver,N/A
39,W4_6,1,6,0.48,0.52,Solver,N/A
50,W4_6,1,8,0.75,0.25,Solver,N/A
58,W4_6,1,10,0.99,0.01,Solver,N/A
61,W4_6,1,10,0.9,0.1,Solver,N/A
66,W4_6,1,8,0.85,0.15,Solver,N/A
69,W4_6,1,8,0.65,0.35,Solver,N/A
77,W4_6,1,10,0.7,0.3,Solver,N/A
79,W4_6,1,6,0.53,0.47,Solver,N/A
82,W4_6,1,8,0.9,0.1,Solver,N/A
90,W4_6,1,8,0.75,0.25,Solver,N/A
108,W4_6,1,10,0.95,0.05,Solver,N/A
112,W4_6,1,8,0.8,0.2,Solver,N/A
115,W4_6,1,10,0.95,0.05,Solver,N/A
117,W4_6,1,8,0.9,0.1,Solver,N/A
118,W4_6,1,6,0.69,0.31,Solver,N/A
121,W4_6,1,10,0.75,0.25,Solver,N/A
