,Answer,Confidence,Class,1,2,sum_prediction
0,2,0.4,0,0.5,0.5,1.0
1,2,0.8,0,0.25,0.75,1.0
2,1,0.6,1,0.1,0.9,1.0
3,1,0.4,1,0.45,0.55,1.0
4,2,0.6,0,0.5,0.5,1.0
5,2,0.4,0,0.5,0.5,1.0
6,2,0.6,0,0.45,0.55,1.0
7,2,0.4,0,0.4,0.6,1.0
8,2,0.4,0,0.4,0.6,1.0
9,1,0.6,1,0.5,0.5,1.0
10,2,0.4,0,0.4,0.6,1.0
11,1,0.6,1,0.5,0.5,1.0
12,2,0.2,0,0.85,0.15,1.0
13,2,1.0,0,0.1,0.9,1.0
14,2,0.2,0,0.5,0.5,1.0
15,2,0.6,0,0.49,0.51,1.0
16,1,0.6,1,0.6,0.4,1.0
17,1,0.6,1,0.61,0.39,1.0
18,1,0.4,1,0.55,0.45,1.0
19,2,0.6,0,0.5,0.5,1.0
